Problem Name,Content
Residual Stress Measurement Of Steel Strips,"['non-destructive', 'method', 'accurately', 'determine', 'measure', 'inherent', 'residual', 'stress', 'steel', 'strip', 'surface']"
Flame Ignition In Flare Stacks,"['reliable', 'flame', 'detection', 'system', 'send', 'alarm', 'soon', 'flames', 'put-off', 'remains', 'reliable', 'ambience', 'top', 'Flare', 'Stack']"
Alternate Mining Technology - Steep Gradient Mining,"['Develop', 'alternate', 'mining', 'technology', 'produce', 'ores', 'lesser', 'cost', '120m', 'deep', 'opencast', 'mine']"
Silt Removal from open-cast chromite mine,"['Develop', 'innovative', 'mechanism', 'improve', 'efficiency', 'silt', 'removal', 'open-cast', 'mines']"
Eliminating remnant coal in wagons after tippling at coal wagon tipplers,"['Solutions', 'sought', 'recover', 'remnant', 'coal', 'wagons', 'post', 'tippling']"
Arresting  Rail Track Foundation Settlement,"['Solutions', 'sought', 'ensure', 'smooth', 'coke', 'oven', 'battery', 'operation', 'arresting', 'settlement', 'track', 'foundation']"
Prevention and protection of Steel Structures from extreme levels of corrosion,"['Solutions', 'sought', 'protect', 'steel', 'structures', 'extreme', 'levels', 'corrosion', 'order', 'improve', 'structural', 'integrity']"
On time communication system to monitor the gap formed between main rail and switch rail,"['innovative', 'solutions', 'real-time', 'assessment', 'gap', 'main', 'rail', 'switch', 'rail']"
Inspection and condition monitoring of insulated chiller water pipe lines,"['innovative', 'solutions', 'check', 'condition', 'chiller', 'water', 'pipelines']"
Automated recording and communication of power consumption (kWh) in analog energy meters,"['solutions', 'automate', 'process', 'manual', 'readings', 'bill', 'generation', 'existing', 'analog', 'energy', 'meters']"
